scenario,role,action,skill,policy_probability,pure_action_value,equilibrium_state_value,state_value
initial,TP,"NUM(total=0,thumb=0)",数字,0.000000000000,0.028303448276,0.028303448276,0.028303448276
initial,TP,"NUM(total=0,thumb=1)",数字,0.000000000000,0.025544827586,0.028303448276,0.028303448276
initial,TP,"NUM(total=0,thumb=2)",数字,0.000000000000,0.025544827586,0.028303448276,0.028303448276
initial,TP,"NUM(total=1,thumb=0)",数字,0.000000000000,0.028303448276,0.028303448276,0.028303448276
initial,TP,"NUM(total=1,thumb=1)",数字,0.000000000000,0.028303448276,0.028303448276,0.028303448276
initial,TP,"NUM(total=1,thumb=2)",数字,0.000000000000,0.025544827586,0.028303448276,0.028303448276
initial,TP,"NUM(total=2,thumb=0)",数字,0.000000000000,0.028303448276,0.028303448276,0.028303448276
initial,TP,"NUM(total=2,thumb=1)",数字,0.000000000000,0.028303448276,0.028303448276,0.028303448276
initial,TP,"NUM(total=2,thumb=2)",数字,0.080000000000,0.028303448276,0.028303448276,0.028303448276
initial,TP,"NUM(total=3,thumb=0)",数字,0.000000000000,0.025544827586,0.028303448276,0.028303448276
initial,TP,"NUM(total=3,thumb=1)",数字,0.000000000000,0.028303448276,0.028303448276,0.028303448276
initial,TP,"NUM(total=3,thumb=2)",数字,0.080000000000,0.028303448276,0.028303448276,0.028303448276
initial,TP,"NUM(total=4,thumb=0)",数字,0.000000000000,0.025544827586,0.028303448276,0.028303448276
initial,TP,"NUM(total=4,thumb=1)",数字,0.000000000000,0.025544827586,0.028303448276,0.028303448276
initial,TP,"NUM(total=4,thumb=2)",数字,0.080000000000,0.028303448276,0.028303448276,0.028303448276
initial,TP,ガード(thumb=0),ガード,0.000000000000,0.008055172414,0.028303448276,0.028303448276
initial,TP,ガード(thumb=1),ガード,0.000000000000,0.008055172414,0.028303448276,0.028303448276
initial,TP,ガード(thumb=2),ガード,0.000000000000,0.008055172414,0.028303448276,0.028303448276
initial,TP,クイック(thumb=0),クイック,0.000000000000,-0.004303448276,0.028303448276,0.028303448276
initial,TP,クイック(thumb=1),クイック,0.000000000000,-0.004303448276,0.028303448276,0.028303448276
initial,TP,クイック(thumb=2),クイック,0.000000000000,-0.004303448276,0.028303448276,0.028303448276
initial,TP,スキップ(thumb=0),スキップ,0.000000000000,0.028303448276,0.028303448276,0.028303448276
initial,TP,スキップ(thumb=1),スキップ,0.000000000000,0.028303448276,0.028303448276,0.028303448276
initial,TP,スキップ(thumb=2),スキップ,0.707586206897,0.028303448276,0.028303448276,0.028303448276
initial,TP,セメント(thumb=0),セメント,0.000000000000,-0.008937931034,0.028303448276,0.028303448276
initial,TP,セメント(thumb=1),セメント,0.000000000000,-0.008937931034,0.028303448276,0.028303448276
initial,TP,セメント(thumb=2),セメント,0.000000000000,-0.008937931034,0.028303448276,0.028303448276
initial,TP,タイム(thumb=0),タイム,0.000000000000,-0.143678160920,0.028303448276,0.028303448276
initial,TP,タイム(thumb=1),タイム,0.000000000000,-0.143678160920,0.028303448276,0.028303448276
initial,TP,タイム(thumb=2),タイム,0.000000000000,-0.143678160920,0.028303448276,0.028303448276
initial,TP,チャージ(thumb=0),チャージ,0.000000000000,-0.005848275862,0.028303448276,0.028303448276
initial,TP,チャージ(thumb=1),チャージ,0.000000000000,-0.005848275862,0.028303448276,0.028303448276
initial,TP,チャージ(thumb=2),チャージ,0.000000000000,-0.005848275862,0.028303448276,0.028303448276
initial,TP,フェイント(thumb=0),フェイント,0.000000000000,0.028303448276,0.028303448276,0.028303448276
initial,TP,フェイント(thumb=1),フェイント,0.000000000000,0.028303448276,0.028303448276,0.028303448276
initial,TP,フェイント(thumb=2),フェイント,0.052413793103,0.028303448276,0.028303448276,0.028303448276
initial,TP,フラッシュ(thumb=0),フラッシュ,0.000000000000,0.028303448276,0.028303448276,0.028303448276
initial,TP,フラッシュ(thumb=1),フラッシュ,0.000000000000,0.011034482759,0.028303448276,0.028303448276
initial,TP,フラッシュ(thumb=2),フラッシュ,0.000000000000,0.028303448276,0.028303448276,0.028303448276
initial,TP,ブースト(thumb=0),ブースト,0.000000000000,-0.143678160920,0.028303448276,0.028303448276
initial,TP,ブースト(thumb=1),ブースト,0.000000000000,-0.143678160920,0.028303448276,0.028303448276
initial,TP,ブースト(thumb=2),ブースト,0.000000000000,-0.143678160920,0.028303448276,0.028303448276
