scenario,role,action,skill,policy_probability,pure_action_value,equilibrium_state_value,state_value
stock_guard_flash,TP,"ALL(order=('ガード', 'フラッシュ'),thumb=0)",オール,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,"ALL(order=('ガード', 'フラッシュ'),thumb=1)",オール,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,"ALL(order=('ガード', 'フラッシュ'),thumb=2)",オール,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,"CHOICE(ガード,thumb=0)",チョイス,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,"CHOICE(ガード,thumb=1)",チョイス,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,"CHOICE(ガード,thumb=2)",チョイス,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,"CHOICE(フラッシュ,thumb=0)",チョイス,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,"CHOICE(フラッシュ,thumb=1)",チョイス,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,"CHOICE(フラッシュ,thumb=2)",チョイス,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,"NUM(total=0,thumb=0)",数字,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,"NUM(total=0,thumb=1)",数字,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,"NUM(total=0,thumb=2)",数字,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,"NUM(total=1,thumb=0)",数字,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,"NUM(total=1,thumb=1)",数字,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,"NUM(total=1,thumb=2)",数字,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,"NUM(total=2,thumb=0)",数字,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,"NUM(total=2,thumb=1)",数字,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,"NUM(total=2,thumb=2)",数字,0.028181818182,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,"NUM(total=3,thumb=0)",数字,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,"NUM(total=3,thumb=1)",数字,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,"NUM(total=3,thumb=2)",数字,0.028181818182,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,"NUM(total=4,thumb=0)",数字,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,"NUM(total=4,thumb=1)",数字,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,"NUM(total=4,thumb=2)",数字,0.028181818182,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,ガード(thumb=0),ガード,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,ガード(thumb=1),ガード,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,ガード(thumb=2),ガード,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,クイック(thumb=0),クイック,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,クイック(thumb=1),クイック,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,クイック(thumb=2),クイック,0.863636363636,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,コピー(thumb=0),コピー,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,コピー(thumb=1),コピー,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,コピー(thumb=2),コピー,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,スキップ(thumb=0),スキップ,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,スキップ(thumb=1),スキップ,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,スキップ(thumb=2),スキップ,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,ストック(thumb=0),ストック,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,ストック(thumb=1),ストック,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,ストック(thumb=2),ストック,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,セメント(thumb=0),セメント,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,セメント(thumb=1),セメント,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,セメント(thumb=2),セメント,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,タイム(thumb=0),タイム,0.000000000000,0.020000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,タイム(thumb=1),タイム,0.000000000000,0.020000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,タイム(thumb=2),タイム,0.000000000000,0.020000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,チャージ(thumb=0),チャージ,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,チャージ(thumb=1),チャージ,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,チャージ(thumb=2),チャージ,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,ドロップ(thumb=0),ドロップ,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,ドロップ(thumb=1),ドロップ,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,ドロップ(thumb=2),ドロップ,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,フェイント(thumb=0),フェイント,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,フェイント(thumb=1),フェイント,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,フェイント(thumb=2),フェイント,0.051818181818,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,フラッシュ(thumb=0),フラッシュ,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,フラッシュ(thumb=1),フラッシュ,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,フラッシュ(thumb=2),フラッシュ,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,ブースト(thumb=0),ブースト,0.000000000000,0.020000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,ブースト(thumb=1),ブースト,0.000000000000,0.020000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,ブースト(thumb=2),ブースト,0.000000000000,0.020000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,ロック(thumb=0),ロック,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,ロック(thumb=1),ロック,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,TP,ロック(thumb=2),ロック,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,NTP,"NTP(なし,thumb=0)",なし,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,NTP,"NTP(なし,thumb=1)",なし,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,NTP,"NTP(なし,thumb=2)",なし,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,NTP,"NTP(カウンター,thumb=0)",カウンター,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,NTP,"NTP(カウンター,thumb=1)",カウンター,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,NTP,"NTP(カウンター,thumb=2)",カウンター,0.000000000000,0.060000000000,0.060000000000,0.060000000000
stock_guard_flash,NTP,"NTP(ブロック,thumb=0)",ブロック,0.000000000000,0.060000000000,0.060000000000,0.060000000000
