config_label,enable_mirror,enable_reversi,seed,episodes,wins,losses,truncations,average_reward,average_steps,model_path,metrics_path,reused_existing
mirror_off_reversi_off,False,False,0,100,100,0,0,1.0,4.74,results\maskable_ppo_bc_standard_episode_mixed_4cfg\mirror_off_reversi_off\seed_0\maskable_ppo_complete.zip,results\maskable_ppo_bc_standard_episode_mixed_4cfg\mirror_off_reversi_off\seed_0\metrics.json,False
mirror_off_reversi_off,False,False,1,100,100,0,0,1.0,4.76,results\maskable_ppo_bc_standard_episode_mixed_4cfg\mirror_off_reversi_off\seed_1\maskable_ppo_complete.zip,results\maskable_ppo_bc_standard_episode_mixed_4cfg\mirror_off_reversi_off\seed_1\metrics.json,False
mirror_off_reversi_off,False,False,2,100,100,0,0,1.0,4.76,results\maskable_ppo_bc_standard_episode_mixed_4cfg\mirror_off_reversi_off\seed_2\maskable_ppo_complete.zip,results\maskable_ppo_bc_standard_episode_mixed_4cfg\mirror_off_reversi_off\seed_2\metrics.json,False
mirror_on_reversi_off,True,False,0,100,100,0,0,1.0,4.3,results\maskable_ppo_bc_standard_episode_mixed_4cfg\mirror_on_reversi_off\seed_0\maskable_ppo_complete.zip,results\maskable_ppo_bc_standard_episode_mixed_4cfg\mirror_on_reversi_off\seed_0\metrics.json,False
mirror_on_reversi_off,True,False,1,100,100,0,0,1.0,4.23,results\maskable_ppo_bc_standard_episode_mixed_4cfg\mirror_on_reversi_off\seed_1\maskable_ppo_complete.zip,results\maskable_ppo_bc_standard_episode_mixed_4cfg\mirror_on_reversi_off\seed_1\metrics.json,False
mirror_on_reversi_off,True,False,2,100,100,0,0,1.0,4.23,results\maskable_ppo_bc_standard_episode_mixed_4cfg\mirror_on_reversi_off\seed_2\maskable_ppo_complete.zip,results\maskable_ppo_bc_standard_episode_mixed_4cfg\mirror_on_reversi_off\seed_2\metrics.json,False
mirror_off_reversi_on,False,True,0,100,100,0,0,1.0,4.93,results\maskable_ppo_bc_standard_episode_mixed_4cfg\mirror_off_reversi_on\seed_0\maskable_ppo_complete.zip,results\maskable_ppo_bc_standard_episode_mixed_4cfg\mirror_off_reversi_on\seed_0\metrics.json,False
mirror_off_reversi_on,False,True,1,100,99,1,0,0.98,5.13,results\maskable_ppo_bc_standard_episode_mixed_4cfg\mirror_off_reversi_on\seed_1\maskable_ppo_complete.zip,results\maskable_ppo_bc_standard_episode_mixed_4cfg\mirror_off_reversi_on\seed_1\metrics.json,False
mirror_off_reversi_on,False,True,2,100,100,0,0,1.0,4.76,results\maskable_ppo_bc_standard_episode_mixed_4cfg\mirror_off_reversi_on\seed_2\maskable_ppo_complete.zip,results\maskable_ppo_bc_standard_episode_mixed_4cfg\mirror_off_reversi_on\seed_2\metrics.json,False
mirror_on_reversi_on,True,True,0,100,100,0,0,1.0,4.31,results\maskable_ppo_bc_standard_episode_mixed_4cfg\mirror_on_reversi_on\seed_0\maskable_ppo_complete.zip,results\maskable_ppo_bc_standard_episode_mixed_4cfg\mirror_on_reversi_on\seed_0\metrics.json,False
mirror_on_reversi_on,True,True,1,100,100,0,0,1.0,4.24,results\maskable_ppo_bc_standard_episode_mixed_4cfg\mirror_on_reversi_on\seed_1\maskable_ppo_complete.zip,results\maskable_ppo_bc_standard_episode_mixed_4cfg\mirror_on_reversi_on\seed_1\metrics.json,False
mirror_on_reversi_on,True,True,2,100,100,0,0,1.0,4.58,results\maskable_ppo_bc_standard_episode_mixed_4cfg\mirror_on_reversi_on\seed_2\maskable_ppo_complete.zip,results\maskable_ppo_bc_standard_episode_mixed_4cfg\mirror_on_reversi_on\seed_2\metrics.json,False
