config_label,enable_mirror,enable_reversi,seed,episodes,wins,losses,truncations,average_reward,average_steps,model_path,metrics_path,reused_existing
mirror_off_reversi_off,False,False,0,20,20,0,0,1.0,6.35,results\maskable_ppo_all_configs_bc_quick_multi_seed\mirror_off_reversi_off\seed_0\maskable_ppo_complete.zip,results\maskable_ppo_all_configs_bc_quick_multi_seed\mirror_off_reversi_off\seed_0\metrics.json,True
mirror_off_reversi_off,False,False,1,20,20,0,0,1.0,6.2,results\maskable_ppo_all_configs_bc_quick_multi_seed\mirror_off_reversi_off\seed_1\maskable_ppo_complete.zip,results\maskable_ppo_all_configs_bc_quick_multi_seed\mirror_off_reversi_off\seed_1\metrics.json,True
mirror_off_reversi_off,False,False,2,20,20,0,0,1.0,6.65,results\maskable_ppo_all_configs_bc_quick_multi_seed\mirror_off_reversi_off\seed_2\maskable_ppo_complete.zip,results\maskable_ppo_all_configs_bc_quick_multi_seed\mirror_off_reversi_off\seed_2\metrics.json,True
mirror_on_reversi_off,True,False,0,20,20,0,0,1.0,5.55,results\maskable_ppo_all_configs_bc_quick_multi_seed\mirror_on_reversi_off\seed_0\maskable_ppo_complete.zip,results\maskable_ppo_all_configs_bc_quick_multi_seed\mirror_on_reversi_off\seed_0\metrics.json,True
mirror_on_reversi_off,True,False,1,20,20,0,0,1.0,5.5,results\maskable_ppo_all_configs_bc_quick_multi_seed\mirror_on_reversi_off\seed_1\maskable_ppo_complete.zip,results\maskable_ppo_all_configs_bc_quick_multi_seed\mirror_on_reversi_off\seed_1\metrics.json,True
mirror_on_reversi_off,True,False,2,20,20,0,0,1.0,5.7,results\maskable_ppo_all_configs_bc_quick_multi_seed\mirror_on_reversi_off\seed_2\maskable_ppo_complete.zip,results\maskable_ppo_all_configs_bc_quick_multi_seed\mirror_on_reversi_off\seed_2\metrics.json,True
mirror_off_reversi_on,False,True,0,20,20,0,0,1.0,6.05,results\maskable_ppo_all_configs_bc_quick_multi_seed\mirror_off_reversi_on\seed_0\maskable_ppo_complete.zip,results\maskable_ppo_all_configs_bc_quick_multi_seed\mirror_off_reversi_on\seed_0\metrics.json,True
mirror_off_reversi_on,False,True,1,20,20,0,0,1.0,6.3,results\maskable_ppo_all_configs_bc_quick_multi_seed\mirror_off_reversi_on\seed_1\maskable_ppo_complete.zip,results\maskable_ppo_all_configs_bc_quick_multi_seed\mirror_off_reversi_on\seed_1\metrics.json,True
mirror_off_reversi_on,False,True,2,20,20,0,0,1.0,7.3,results\maskable_ppo_all_configs_bc_quick_multi_seed\mirror_off_reversi_on\seed_2\maskable_ppo_complete.zip,results\maskable_ppo_all_configs_bc_quick_multi_seed\mirror_off_reversi_on\seed_2\metrics.json,True
mirror_on_reversi_on,True,True,0,20,20,0,0,1.0,5.4,results\maskable_ppo_all_configs_bc_quick_multi_seed\mirror_on_reversi_on\seed_0\maskable_ppo_complete.zip,results\maskable_ppo_all_configs_bc_quick_multi_seed\mirror_on_reversi_on\seed_0\metrics.json,True
mirror_on_reversi_on,True,True,1,20,20,0,0,1.0,5.0,results\maskable_ppo_all_configs_bc_quick_multi_seed\mirror_on_reversi_on\seed_1\maskable_ppo_complete.zip,results\maskable_ppo_all_configs_bc_quick_multi_seed\mirror_on_reversi_on\seed_1\metrics.json,True
mirror_on_reversi_on,True,True,2,20,20,0,0,1.0,5.7,results\maskable_ppo_all_configs_bc_quick_multi_seed\mirror_on_reversi_on\seed_2\maskable_ppo_complete.zip,results\maskable_ppo_all_configs_bc_quick_multi_seed\mirror_on_reversi_on\seed_2\metrics.json,False
